station_code,hour,train_count,traffic_level
0,5,2,1
0,6,1,0
0,7,2,1
0,8,1,0
0,11,3,2
0,13,2,1
0,14,1,0
0,15,2,1
0,16,2,1
0,18,2,1
0,19,2,1
0,21,2,1
1,0,1,0
1,1,3,2
1,2,5,2
1,3,1,0
1,4,5,2
1,5,6,2
1,6,1,0
1,7,6,2
1,8,4,2
1,11,3,2
1,12,4,2
1,13,2,1
1,14,5,2
1,15,1,0
1,18,2,1
1,19,6,2
1,20,1,0
1,21,4,2
1,22,8,2
1,23,5,2
2,8,1,0
2,9,1,0
2,10,1,0
2,14,1,0
2,15,1,0
2,16,1,0
2,17,1,0
2,18,1,0
3,0,4,2
3,1,4,2
3,2,2,1
3,5,4,2
3,6,1,0
3,7,2,1
3,8,2,1
3,9,1,0
3,11,1,0
3,12,2,1
3,13,1,0
3,14,1,0
3,15,1,0
3,16,1,0
3,17,3,2
3,18,3,2
3,20,1,0
3,21,3,2
3,22,2,1
3,23,1,0
4,6,1,0
4,7,2,1
4,10,2,1
4,12,2,1
4,15,2,1
4,17,1,0
4,18,1,0
4,20,2,1
4,21,1,0
5,0,15,2
5,1,11,2
5,2,11,2
5,3,13,2
5,4,9,2
5,5,11,2
5,6,8,2
5,7,5,2
5,8,4,2
5,9,2,1
5,10,5,2
5,11,8,2
5,12,6,2
5,13,9,2
5,14,6,2
5,15,6,2
5,16,2,1
5,17,3,2
5,18,9,2
5,19,7,2
5,20,10,2
5,21,11,2
5,22,8,2
5,23,6,2
6,4,1,0
6,6,1,0
6,8,1,0
6,15,1,0
6,18,1,0
6,19,1,0
6,21,1,0
6,22,1,0
7,0,1,0
7,3,4,2
7,4,1,0
7,5,2,1
7,6,2,1
7,7,4,2
7,8,3,2
7,10,6,2
7,11,4,2
7,13,1,0
7,14,3,2
7,15,3,2
7,16,3,2
7,17,4,2
7,18,1,0
7,19,4,2
7,20,3,2
7,21,2,1
7,23,2,1
8,6,1,0
8,9,1,0
8,15,1,0
8,19,1,0
9,2,2,1
9,3,3,2
9,4,1,0
9,5,2,1
9,6,2,1
9,7,5,2
9,8,2,1
9,9,1,0
9,10,2,1
9,12,1,0
9,13,1,0
9,15,1,0
9,17,2,1
9,18,2,1
9,19,3,2
9,20,2,1
9,22,1,0
9,23,1,0
10,0,9,2
10,1,10,2
10,2,14,2
10,3,5,2
10,4,9,2
10,5,3,2
10,6,14,2
10,7,10,2
10,8,8,2
10,9,7,2
10,10,4,2
10,11,4,2
10,12,7,2
10,13,4,2
10,14,2,1
10,15,1,0
10,16,4,2
10,17,15,2
10,18,6,2
10,19,3,2
10,20,8,2
10,21,2,1
10,22,1,0
10,23,7,2
11,0,3,2
11,1,6,2
11,2,2,1
11,3,7,2
11,4,1,0
11,5,5,2
11,6,12,2
11,7,9,2
11,8,8,2
11,9,9,2
11,10,4,2
11,11,8,2
11,12,4,2
11,13,11,2
11,14,10,2
11,15,8,2
11,16,10,2
11,17,10,2
11,18,9,2
11,19,8,2
11,20,8,2
11,21,12,2
11,22,5,2
11,23,11,2
12,0,3,2
12,1,1,0
12,2,6,2
12,3,4,2
12,4,4,2
12,5,3,2
12,6,1,0
12,7,6,2
12,8,7,2
12,9,12,2
12,10,7,2
12,11,1,0
12,12,2,1
12,13,1,0
12,14,8,2
12,15,6,2
12,16,1,0
12,17,1,0
12,18,6,2
12,19,4,2
12,20,5,2
12,22,5,2
13,8,2,1
13,10,1,0
13,14,1,0
13,16,1,0
13,17,1,0
14,0,1,0
15,0,3,2
15,1,1,0
15,2,2,1
15,3,7,2
15,4,1,0
15,5,3,2
15,6,1,0
15,7,3,2
15,8,4,2
15,9,2,1
15,10,2,1
15,11,4,2
15,12,5,2
15,13,7,2
15,14,3,2
15,15,5,2
15,16,4,2
15,17,2,1
15,18,9,2
15,19,4,2
15,21,6,2
15,22,3,2
15,23,3,2
16,0,1,0
16,1,3,2
16,2,7,2
16,3,3,2
16,4,3,2
16,5,1,0
16,6,1,0
16,8,2,1
16,9,2,1
16,10,4,2
16,12,2,1
16,13,1,0
16,14,1,0
16,16,3,2
16,17,2,1
16,18,1,0
16,19,2,1
16,21,3,2
16,23,7,2
17,0,4,2
17,1,10,2
17,2,5,2
17,3,2,1
17,4,10,2
17,5,5,2
17,6,4,2
17,7,3,2
17,8,2,1
17,9,4,2
17,10,2,1
17,11,1,0
17,12,2,1
17,13,6,2
17,15,2,1
17,16,2,1
17,17,3,2
17,18,5,2
17,19,9,2
17,20,1,0
17,21,7,2
17,22,9,2
17,23,3,2
18,0,4,2
18,1,6,2
18,2,8,2
18,3,2,1
18,4,2,1
18,5,3,2
18,6,1,0
18,7,2,1
18,8,3,2
18,10,2,1
18,11,1,0
18,12,2,1
18,13,5,2
18,14,1,0
18,15,2,1
18,16,1,0
18,18,3,2
18,19,3,2
18,20,3,2
18,21,3,2
18,22,4,2
18,23,3,2
19,0,1,0
19,1,1,0
19,2,3,2
19,3,1,0
19,4,1,0
19,5,1,0
19,9,1,0
19,10,1,0
19,12,1,0
19,15,2,1
19,16,1,0
19,18,1,0
19,19,2,1
19,21,1,0
19,22,1,0
19,23,3,2
20,0,1,0
20,1,5,2
20,2,2,1
20,3,2,1
20,5,8,2
20,6,2,1
20,7,1,0
20,8,1,0
20,10,3,2
20,12,1,0
20,13,1,0
20,14,4,2
20,17,7,2
20,18,2,1
20,20,1,0
20,21,2,1
20,22,1,0
21,1,5,2
21,2,1,0
21,3,1,0
21,5,2,1
21,6,4,2
21,7,1,0
21,8,5,2
21,9,1,0
21,10,2,1
21,11,6,2
21,12,3,2
21,13,1,0
21,14,3,2
21,15,1,0
21,16,1,0
21,17,3,2
21,18,2,1
21,19,2,1
21,20,5,2
21,21,2,1
21,23,3,2
22,0,3,2
22,1,4,2
22,2,1,0
22,3,1,0
22,4,2,1
22,5,2,1
22,6,2,1
22,7,3,2
22,8,1,0
22,9,6,2
22,10,2,1
22,11,1,0
22,12,4,2
22,13,2,1
22,14,2,1
22,15,1,0
22,16,4,2
22,17,1,0
22,18,3,2
22,19,3,2
22,20,1,0
22,21,1,0
22,22,1,0
23,0,5,2
23,1,3,2
23,2,7,2
23,3,1,0
23,4,2,1
23,5,3,2
23,6,5,2
23,9,1,0
23,10,7,2
23,11,6,2
23,12,4,2
23,13,1,0
23,14,1,0
23,15,1,0
23,16,1,0
23,17,1,0
23,18,1,0
23,20,6,2
23,22,2,1
23,23,2,1
24,2,1,0
24,5,3,2
24,6,2,1
24,7,1,0
24,9,2,1
24,11,2,1
24,12,2,1
24,14,3,2
24,15,1,0
24,16,1,0
24,19,1,0
24,21,1,0
24,22,2,1
24,23,1,0
25,8,2,1
25,10,1,0
25,13,2,1
25,15,1,0
25,17,2,1
26,0,1,0
26,1,1,0
26,2,3,2
26,3,5,2
26,4,13,2
26,5,8,2
26,6,7,2
26,7,4,2
26,8,5,2
26,9,8,2
26,10,3,2
26,11,6,2
26,12,4,2
26,13,4,2
26,14,8,2
26,15,8,2
26,16,3,2
26,17,2,1
26,18,4,2
26,19,3,2
26,20,5,2
26,21,7,2
26,22,6,2
26,23,11,2
27,9,1,0
28,0,1,0
28,2,1,0
28,4,2,1
28,8,2,1
28,11,1,0
28,13,1,0
28,15,1,0
28,18,1,0
28,21,3,2
28,23,1,0
